Format Version,1.23,Take Name,Take 2023-08-18 03.00.49 AM,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2023-08-18 03.00.50.093 AM,Capture Start Frame,177424,Total Frames in Take,359,Total Exported Frames,359,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,ur5,ur5,ur5,ur5,ur5,ur5,ur5,nist_board,nist_board,nist_board,nist_board,nist_board,nist_board,nist_board
,ID,72E62E473D9311EE711CCB4F034C1DA8,72E62E473D9311EE711CCB4F034C1DA8,72E62E473D9311EE711CCB4F034C1DA8,72E62E473D9311EE711CCB4F034C1DA8,72E62E473D9311EE711CCB4F034C1DA8,72E62E473D9311EE711CCB4F034C1DA8,72E62E473D9311EE711CCB4F034C1DA8,7D6AE1B73D9311EE711CCB4F034C1DA8,7D6AE1B73D9311EE711CCB4F034C1DA8,7D6AE1B73D9311EE711CCB4F034C1DA8,7D6AE1B73D9311EE711CCB4F034C1DA8,7D6AE1B73D9311EE711CCB4F034C1DA8,7D6AE1B73D9311EE711CCB4F034C1DA8,7D6AE1B73D9311EE711CCB4F034C1DA8
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z
70,0.583000,0.000043,-0.000110,0.000031,1.000000,-1.184530,-0.038896,0.351039,-0.000015,-0.000028,0.000017,1.000000,-1.029653,-0.147344,0.885924
71,0.592000,0.000022,-0.000055,0.000132,1.000000,-1.184529,-0.038915,0.351042,-0.000009,-0.000018,0.000030,1.000000,-1.029649,-0.147342,0.885929
72,0.600000,-0.000041,-0.000036,0.000173,1.000000,-1.184518,-0.038911,0.351042,-0.000011,-0.000004,0.000029,1.000000,-1.029637,-0.147339,0.885929
73,0.608000,-0.000104,-0.000062,0.000161,1.000000,-1.184513,-0.038906,0.351037,-0.000008,0.000003,0.000038,1.000000,-1.029628,-0.147338,0.885925
74,0.617000,-0.000040,-0.000073,0.000024,1.000000,-1.184510,-0.038898,0.351041,0.000037,0.000019,-0.000009,1.000000,-1.029608,-0.147344,0.885931
75,0.625000,-0.000036,-0.000081,0.000056,1.000000,-1.184509,-0.038907,0.351042,-0.000009,0.000020,0.000030,1.000000,-1.029615,-0.147324,0.885920
76,0.633000,-0.000018,-0.000085,0.000038,1.000000,-1.184506,-0.038914,0.351043,-0.000016,0.000030,0.000060,1.000000,-1.029616,-0.147324,0.885922
77,0.642000,-0.000011,-0.000044,-0.000031,1.000000,-1.184495,-0.038905,0.351030,0.000023,0.000041,0.000028,1.000000,-1.029614,-0.147344,0.885915
78,0.650000,-0.000070,-0.000056,-0.000049,1.000000,-1.184515,-0.038897,0.351039,0.000054,0.000021,-0.000031,1.000000,-1.029612,-0.147352,0.885923
79,0.658000,-0.000036,-0.000067,-0.000012,1.000000,-1.184525,-0.038904,0.351043,0.000025,0.000024,0.000014,1.000000,-1.029626,-0.147344,0.885913
80,0.667000,0.000040,-0.000074,-0.000013,1.000000,-1.184514,-0.038919,0.351045,-0.000004,0.000014,0.000042,1.000000,-1.029619,-0.147346,0.885925
81,0.675000,-0.000041,-0.000059,0.000004,1.000000,-1.184507,-0.038921,0.351042,0.000028,0.000008,0.000022,1.000000,-1.029610,-0.147350,0.885941
82,0.683000,-0.000061,-0.000054,0.000051,1.000000,-1.184511,-0.038915,0.351039,0.000017,0.000011,0.000054,1.000000,-1.029619,-0.147342,0.885929
83,0.692000,-0.000042,-0.000057,0.000139,1.000000,-1.184515,-0.038902,0.351040,0.000040,0.000025,-0.000013,1.000000,-1.029606,-0.147346,0.885926
84,0.700000,-0.000018,-0.000094,0.000102,1.000000,-1.184502,-0.038889,0.351041,-0.000019,0.000026,0.000019,1.000000,-1.029602,-0.147327,0.885912
85,0.708000,-0.000014,-0.000075,0.000071,1.000000,-1.184497,-0.038892,0.351036,0.000015,0.000040,0.000004,1.000000,-1.029590,-0.147330,0.885924
86,0.717000,-0.000050,-0.000091,0.000025,1.000000,-1.184496,-0.038898,0.351036,0.000039,0.000034,-0.000007,1.000000,-1.029601,-0.147337,0.885934
87,0.725000,-0.000039,-0.000077,0.000101,1.000000,-1.184513,-0.038908,0.351034,0.000002,0.000015,0.000032,1.000000,-1.029621,-0.147333,0.885932
88,0.733000,-0.000009,-0.000100,0.000052,1.000000,-1.184505,-0.038913,0.351039,0.000046,0.000015,-0.000022,1.000000,-1.029617,-0.147357,0.885929
89,0.742000,0.000024,-0.000059,0.000049,1.000000,-1.184509,-0.038915,0.351041,0.000027,0.000003,-0.000031,1.000000,-1.029617,-0.147362,0.885930
90,0.750000,0.000018,-0.000077,-0.000057,1.000000,-1.184510,-0.038921,0.351036,0.000039,0.000018,-0.000023,1.000000,-1.029618,-0.147366,0.885924
91,0.758000,0.000000,-0.000071,-0.000063,1.000000,-1.184497,-0.038916,0.351033,0.000022,0.000026,0.000015,1.000000,-1.029622,-0.147349,0.885914
92,0.767000,-0.000111,-0.000103,-0.000030,1.000000,-1.184502,-0.038898,0.351031,0.000015,0.000005,0.000050,1.000000,-1.029619,-0.147330,0.885916
93,0.775000,-0.000071,-0.000076,-0.000002,1.000000,-1.184501,-0.038888,0.351033,0.000033,0.000026,0.000004,1.000000,-1.029604,-0.147339,0.885915
94,0.783000,0.000034,-0.000064,0.000052,1.000000,-1.184505,-0.038900,0.351031,0.000003,0.000027,0.000035,1.000000,-1.029615,-0.147337,0.885914
95,0.792000,0.000010,-0.000056,-0.000099,1.000000,-1.184497,-0.038901,0.351035,0.000020,0.000016,0.000012,1.000000,-1.029604,-0.147342,0.885926
96,0.800000,-0.000045,-0.000092,-0.000081,1.000000,-1.184494,-0.038908,0.351032,0.000050,0.000022,0.000019,1.000000,-1.029607,-0.147354,0.885926
97,0.808000,-0.000001,-0.000061,-0.000092,1.000000,-1.184509,-0.038907,0.351027,0.000037,-0.000012,0.000000,1.000000,-1.029623,-0.147361,0.885932
98,0.817000,-0.000006,-0.000064,-0.000049,1.000000,-1.184512,-0.038906,0.351024,-0.000002,-0.000006,0.000025,1.000000,-1.029638,-0.147356,0.885915
99,0.825000,-0.000029,-0.000037,-0.000079,1.000000,-1.184506,-0.038904,0.351029,0.000014,-0.000002,0.000032,1.000000,-1.029633,-0.147355,0.885916
100,0.833000,-0.000053,-0.000049,-0.000204,1.000000,-1.184494,-0.038902,0.351025,0.000066,0.000011,-0.000000,1.000000,-1.029619,-0.147366,0.885919
101,0.842000,-0.000079,-0.000080,-0.000129,1.000000,-1.184493,-0.038899,0.351020,0.000027,0.000007,0.000064,1.000000,-1.029630,-0.147349,0.885913
102,0.850000,-0.000035,-0.000076,-0.000038,1.000000,-1.184500,-0.038887,0.351023,0.000028,0.000010,0.000039,1.000000,-1.029623,-0.147336,0.885910
103,0.858000,-0.000057,-0.000096,0.000038,1.000000,-1.184496,-0.038894,0.351028,0.000008,0.000022,0.000041,1.000000,-1.029602,-0.147336,0.885919
104,0.867000,-0.000104,-0.000054,-0.000031,1.000000,-1.184490,-0.038892,0.351025,0.000038,0.000027,0.000001,1.000000,-1.029589,-0.147354,0.885924
105,0.875000,-0.000110,-0.000086,-0.000059,1.000000,-1.184496,-0.038886,0.351022,0.000023,0.000007,0.000041,1.000000,-1.029612,-0.147342,0.885922
106,0.883000,-0.000037,-0.000065,-0.000131,1.000000,-1.184501,-0.038887,0.351024,0.000061,-0.000002,0.000000,1.000000,-1.029621,-0.147355,0.885917
107,0.892000,0.000002,-0.000041,-0.000149,1.000000,-1.184509,-0.038896,0.351031,0.000049,-0.000020,0.000003,1.000000,-1.029624,-0.147359,0.885927
108,0.900000,-0.000030,-0.000064,-0.000180,1.000000,-1.184512,-0.038887,0.351035,0.000062,0.000001,-0.000014,1.000000,-1.029617,-0.147371,0.885919
